RecordID,Date,City,State,Season,Temperature_C,Humidity_%,WindSpeed_kmph,Precipitation_mm,AirPressure_hPa,WeatherCondition
62,02/06/2023,Kolkata,West Bengal,Winter,13.6,49,23.5,1.51,1003.9,Cloudy
63,31/01/2022,Pune,Maharashtra,Summer,39.8,38,15.6,3.44,1008.1,Sunny
64,16/08/2022,Pune,Maharashtra,Autumn,26.3,72,33.8,0.23,1016.5,Fog
65,31/03/2023,Pune,Maharashtra,Autumn,30.5,81,16,2.18,1028.2,Rain
66,07/06/2022,Mumbai,Maharashtra,Winter,22,64,12.8,1.98,1011,Rain
67,24/05/2024,Bangalore,Karnataka,Autumn,23.1,42,19.4,0.31,1014.1,Fog
68,18/12/2023,Lucknow,Uttar Pradesh,Summer,30.4,65,26.3,0.61,1004.8,Storm
69,28/12/2022,Delhi,Delhi,Autumn,25.7,57,28,0.35,1017.3,Rain
70,19/01/2022,Hyderabad,Telangana,Summer,34,80,17.9,0.78,1001.1,Haze
71,19/07/2022,Hyderabad,Telangana,Autumn,23.3,78,4.6,0.47,1016.1,Cloudy
72,03/08/2022,Bangalore,Karnataka,Autumn,31.8,50,15,0.12,1010.4,Sunny
73,07/01/2023,Kolkata,West Bengal,Summer,33.5,74,26.8,0.42,1006.5,Rain
74,01/10/2022,Jaipur,Rajasthan,Winter,22.1,83,21.9,0.15,1006,Fog
75,16/05/2023,Delhi,Delhi,Winter,26.1,36,16.1,0.12,1016.5,Haze
76,13/03/2024,Pune,Maharashtra,Winter,23.6,46,15.8,0.65,1007.4,Fog
77,04/08/2023,Lucknow,Uttar Pradesh,Summer,32.8,40,21.6,0.01,1010.7,Cloudy
78,12/08/2023,Pune,Maharashtra,Summer,32.7,85,31.7,1.59,1006.1,Haze
79,22/01/2024,Bangalore,Karnataka,Autumn,24.8,36,6.6,0.97,1011.5,Fog
80,16/02/2023,Chennai,Tamil Nadu,Summer,38.4,66,9.3,8.37,1011.2,Cloudy
81,29/01/2022,Jaipur,Rajasthan,Monsoon,25.9,86,31.1,8.3,1006.2,Haze
82,13/02/2024,Jaipur,Rajasthan,Autumn,24.3,78,34.7,1.61,1016.6,Cloudy
83,14/05/2024,Delhi,Delhi,Autumn,27.8,92,32.2,0.05,1008.1,Haze
84,10/03/2022,Delhi,Delhi,Winter,20.9,77,5,0.36,1012.3,Sunny
85,03/02/2022,Kolkata,West Bengal,Summer,34.7,66,9.3,2.12,1017.8,Rain
86,23/01/2023,Kolkata,West Bengal,Autumn,20.7,93,29.4,0.74,1015,Cloudy
87,09/03/2024,Ahmedabad,Gujarat,Monsoon,25.9,81,31,3.42,1000.6,Cloudy
88,10/02/2022,Lucknow,Uttar Pradesh,Summer,33.5,35,6.1,0.93,1008.8,Rain
89,30/05/2022,Mumbai,Maharashtra,Monsoon,24.4,66,20.1,1.72,1008.5,Cloudy
90,24/01/2022,Bangalore,Karnataka,Summer,35.5,63,6.1,0.85,1006.6,Fog
91,15/06/2024,Delhi,Delhi,Monsoon,27.7,49,34.2,9.27,1003.3,Rain
92,23/01/2024,Ahmedabad,Gujarat,Monsoon,32.3,45,2.3,2.4,1016.1,Fog
93,20/04/2024,Lucknow,Uttar Pradesh,Autumn,28.8,68,34,1.46,998.7,Storm
94,19/03/2022,Lucknow,Uttar Pradesh,Monsoon,29.2,47,16.7,0.05,1002.4,Fog
95,30/04/2024,Mumbai,Maharashtra,Summer,31.2,47,16.4,0.61,1014.6,Fog
96,21/01/2023,Lucknow,Uttar Pradesh,Summer,31.1,90,11.2,4.16,1007.7,Sunny
97,13/11/2022,Mumbai,Maharashtra,Autumn,32.5,61,26.4,0.62,1005.8,Haze
98,22/12/2023,Kolkata,West Bengal,Summer,37,82,4.6,0.02,1012.7,Cloudy
99,08/02/2022,Chennai,Tamil Nadu,Summer,33.7,48,23.5,1.16,1015.2,Sunny
100,13/04/2023,Pune,Maharashtra,Autumn,22.8,72,0.2,0.66,1011.6,Sunny
101,08/05/2022,Lucknow,Uttar Pradesh,Winter,28,65,23.6,0.86,1017.4,Haze
102,22/11/2023,Delhi,Delhi,Summer,39.3,40,12.3,1.94,1007.7,Fog
103,27/06/2023,Delhi,Delhi,Summer,30.7,66,27.1,0.56,1004.2,Cloudy
104,18/11/2023,Ahmedabad,Gujarat,Autumn,24.8,48,26.9,0.37,1009.3,Storm
105,26/01/2024,Ahmedabad,Gujarat,Autumn,26.5,49,5,0.47,1000.7,Sunny
106,13/04/2023,Ahmedabad,Gujarat,Winter,24.4,81,8.1,0.23,1017.5,Fog
107,22/04/2024,Pune,Maharashtra,Autumn,26.7,53,10.7,1.8,1025,Fog
108,18/06/2023,Bangalore,Karnataka,Winter,13.9,48,16.7,0.13,1011.7,Haze
109,17/01/2023,Mumbai,Maharashtra,Autumn,24.6,92,15.1,0.52,1019.8,Haze
110,25/11/2022,Hyderabad,Telangana,Autumn,22.5,36,22.5,1.4,1000.9,Fog
111,29/12/2023,Kolkata,West Bengal,Autumn,26.4,77,22.3,0.91,1011.2,Rain
112,20/07/2023,Lucknow,Uttar Pradesh,Autumn,25.6,68,14.9,1.52,1007,Haze
113,27/08/2023,Bangalore,Karnataka,Monsoon,30,46,13.8,1.43,1015.5,Rain
114,01/03/2022,Hyderabad,Telangana,Winter,16,44,4.6,0.23,1022.1,Sunny
115,01/02/2022,Ahmedabad,Gujarat,Monsoon,28.7,67,12.5,0.46,1018.1,Fog
116,12/04/2024,Kolkata,West Bengal,Summer,39.4,55,6.2,0.85,1013.3,Cloudy
117,12/12/2022,Delhi,Delhi,Summer,31.6,40,20.4,0.49,1013.9,Storm
118,18/02/2023,Bangalore,Karnataka,Autumn,21.6,52,29.6,1.69,1011.8,Fog
119,04/06/2023,Bangalore,Karnataka,Winter,18.9,75,22.7,0.23,1017.8,Fog
120,24/11/2023,Chennai,Tamil Nadu,Autumn,27.3,47,18.4,0.03,1014.8,Rain
121,23/11/2023,Pune,Maharashtra,Winter,24.5,60,24.5,0.91,1005.8,Sunny
122,09/09/2023,Hyderabad,Telangana,Monsoon,28.9,59,18.4,0.4,1011.5,Rain
123,25/05/2024,Jaipur,Rajasthan,Summer,36.7,41,6.7,0.22,1007.5,Rain
124,26/11/2022,Lucknow,Uttar Pradesh,Autumn,28.5,88,1.4,0.62,999.4,Sunny
125,17/04/2023,Lucknow,Uttar Pradesh,Summer,40.6,53,23.6,0.25,1021,Fog
126,15/01/2022,Ahmedabad,Gujarat,Winter,17,44,30.7,0.59,1015.8,Rain
127,06/04/2024,Lucknow,Uttar Pradesh,Summer,42.2,63,4.4,0.14,1006.1,Haze
128,23/08/2022,Ahmedabad,Gujarat,Summer,39.5,65,32.9,0.48,1013.8,Haze
129,02/09/2022,Mumbai,Maharashtra,Monsoon,28.4,47,32.1,0.37,1005,Storm
130,22/12/2022,Kolkata,West Bengal,Monsoon,26.6,64,19.8,11.77,1014.5,Haze
131,07/09/2022,Bangalore,Karnataka,Summer,38.3,62,21.7,0.82,1012.8,Rain
132,13/11/2022,Chennai,Tamil Nadu,Winter,19.9,49,0.4,0.09,1009,Storm
133,26/01/2024,Pune,Maharashtra,Summer,27.6,93,21.5,0.76,1007.2,Sunny
134,01/02/2022,Ahmedabad,Gujarat,Autumn,29.5,71,21.3,0.07,1009.8,Cloudy
135,05/07/2022,Ahmedabad,Gujarat,Winter,11.1,53,32.9,0.25,1010.2,Fog
136,05/04/2024,Bangalore,Karnataka,Summer,36,80,7.6,2.35,1022,Rain
137,29/03/2024,Bangalore,Karnataka,Autumn,24.6,36,22.8,0.16,1019.7,Sunny
138,11/09/2022,Pune,Maharashtra,Monsoon,28.3,73,11.2,16.18,1018.4,Cloudy
139,10/12/2022,Chennai,Tamil Nadu,Summer,26.8,52,21.7,0.29,1011.4,Sunny
140,26/01/2024,Chennai,Tamil Nadu,Summer,32.5,53,9.4,1.65,1010.6,Rain
141,04/01/2024,Lucknow,Uttar Pradesh,Winter,13.9,65,11.5,1.66,1030.9,Cloudy
142,30/01/2023,Jaipur,Rajasthan,Monsoon,29,39,32.3,1.31,998.9,Storm
143,07/01/2022,Ahmedabad,Gujarat,Monsoon,27.5,39,0.5,2.16,1014.4,Sunny
144,25/12/2022,Pune,Maharashtra,Monsoon,29.1,41,6.1,1.67,997.2,Storm
145,11/04/2024,Chennai,Tamil Nadu,Summer,29,35,24.1,0.29,1011.7,Sunny
146,10/05/2024,Hyderabad,Telangana,Winter,31.1,68,13,0.44,994.9,Haze
147,30/03/2024,Hyderabad,Telangana,Autumn,24.2,42,17.6,0.18,1006.8,Storm
148,30/03/2024,Jaipur,Rajasthan,Autumn,26.1,80,27.1,4.03,1001.7,Rain
149,16/02/2022,Ahmedabad,Gujarat,Monsoon,27.7,35,23.2,7.04,990.5,Storm
150,08/04/2022,Hyderabad,Telangana,Winter,20,65,17.5,0.01,1013.2,Rain
151,19/10/2022,Jaipur,Rajasthan,Monsoon,22.3,91,30.1,6.72,1010.6,Rain
152,28/06/2023,Jaipur,Rajasthan,Summer,33.7,43,34.4,0.94,1002.6,Haze
153,09/09/2022,Pune,Maharashtra,Monsoon,35.4,39,16.4,2.23,997.2,Rain
154,29/07/2023,Delhi,Delhi,Monsoon,27.5,69,20.3,10.35,1007.3,Storm
155,13/06/2022,Lucknow,Uttar Pradesh,Winter,14.3,61,7,0.55,1009.9,Rain
156,28/03/2024,Kolkata,West Bengal,Monsoon,26.5,44,22.5,4.37,1010.9,Fog
157,13/01/2022,Ahmedabad,Gujarat,Winter,12.5,48,0.1,3.16,1020.6,Storm
158,24/02/2022,Ahmedabad,Gujarat,Winter,17.7,48,17.5,0.09,1020.1,Cloudy
159,13/01/2024,Jaipur,Rajasthan,Monsoon,24.4,66,34,0.64,1005.3,Cloudy
160,27/02/2023,Mumbai,Maharashtra,Summer,33.9,44,22.3,2.54,1010.8,Fog
161,18/06/2024,Kolkata,West Bengal,Summer,28.9,40,17.9,3.57,1004.9,Sunny
162,03/03/2024,Mumbai,Maharashtra,Monsoon,31.2,91,6.3,3.99,1013.6,Storm
163,27/04/2022,Chennai,Tamil Nadu,Monsoon,28.8,39,24.8,6.01,1004.7,Rain
164,30/11/2022,Chennai,Tamil Nadu,Monsoon,23.4,52,12.9,0.61,1009.1,Sunny
165,10/02/2023,Jaipur,Rajasthan,Winter,17,78,31,0.75,1006.2,Cloudy
166,13/12/2022,Delhi,Delhi,Summer,36.3,70,10.2,0.7,1012.8,Haze
167,05/05/2024,Hyderabad,Telangana,Winter,19.6,69,0.1,1.45,1004.9,Storm
168,22/09/2023,Jaipur,Rajasthan,Summer,33.3,55,26.7,0.21,1004.7,Sunny
169,21/10/2023,Jaipur,Rajasthan,Summer,30.2,63,13.6,0.31,1005.1,Sunny
170,29/06/2022,Mumbai,Maharashtra,Autumn,24.3,49,14.9,0.42,1011.4,Haze
171,06/12/2023,Chennai,Tamil Nadu,Summer,29.6,53,18.1,0.34,1021.9,Haze
172,14/08/2023,Hyderabad,Telangana,Summer,36,77,19.2,1.38,1016,Sunny
173,22/07/2023,Delhi,Delhi,Winter,7.3,59,12,1.58,1007.4,Fog
174,31/07/2022,Chennai,Tamil Nadu,Autumn,25.6,74,8.9,0.32,1016.6,Cloudy
175,15/05/2023,Kolkata,West Bengal,Summer,30.6,65,23.5,0.15,1017.9,Storm
176,07/07/2022,Lucknow,Uttar Pradesh,Summer,31.5,40,18.4,0.08,1001.4,Rain
177,06/05/2024,Chennai,Tamil Nadu,Monsoon,28.7,91,19,1.15,997.3,Sunny
178,27/10/2023,Kolkata,West Bengal,Winter,23.5,84,33.9,0.03,1001.4,Sunny
179,26/01/2023,Ahmedabad,Gujarat,Monsoon,27.6,35,16.4,0.95,1004.5,Haze
180,23/03/2022,Lucknow,Uttar Pradesh,Autumn,25.6,35,24.3,1.11,1012.8,Rain
181,18/06/2023,Lucknow,Uttar Pradesh,Monsoon,24.9,55,1.4,0.58,1013.2,Cloudy
182,08/07/2022,Ahmedabad,Gujarat,Summer,39.2,81,21.2,0.72,1014.6,Fog
183,28/07/2022,Pune,Maharashtra,Autumn,27.1,60,30.9,0.56,1002.4,Fog
184,18/03/2024,Kolkata,West Bengal,Autumn,29.1,81,3,0.58,1013.5,Storm
185,13/11/2023,Kolkata,West Bengal,Summer,33.5,69,10.1,0.71,1005.2,Cloudy
186,14/11/2022,Mumbai,Maharashtra,Monsoon,29,38,6.1,1.82,1006.9,Rain
187,24/06/2022,Chennai,Tamil Nadu,Autumn,26.4,35,24.7,0.03,1014,Cloudy
188,04/03/2022,Chennai,Tamil Nadu,Monsoon,23.5,91,23.1,1.2,1007.4,Storm
189,07/02/2023,Bangalore,Karnataka,Monsoon,29.2,64,17.4,0.05,1015.1,Cloudy
190,02/06/2023,Kolkata,West Bengal,Summer,38.9,64,19,1.55,1012.7,Fog
191,26/06/2023,Mumbai,Maharashtra,Winter,21,89,18.5,3.03,1026.1,Rain
192,11/07/2023,Ahmedabad,Gujarat,Summer,31.2,51,2.8,0.36,1009.1,Cloudy
193,24/05/2022,Delhi,Delhi,Monsoon,27.9,68,13.9,0.24,1017.3,Haze
194,02/08/2023,Pune,Maharashtra,Monsoon,26.7,53,14.5,1.52,1015.1,Storm
195,28/10/2023,Ahmedabad,Gujarat,Monsoon,29.5,75,31.3,1.92,1000.2,Haze
196,27/04/2024,Hyderabad,Telangana,Summer,35.3,75,7.6,0.98,1017.7,Sunny
197,03/12/2022,Jaipur,Rajasthan,Summer,40.6,62,10.4,1.57,1019.9,Haze
198,20/09/2022,Ahmedabad,Gujarat,Autumn,21.9,83,23.1,0.57,1011.1,Rain
199,18/04/2023,Lucknow,Uttar Pradesh,Summer,34.7,35,32,0.05,1015.4,Rain
200,25/03/2022,Delhi,Delhi,Summer,32.6,53,3,0.06,1015.3,Sunny
201,19/02/2022,Jaipur,Rajasthan,Monsoon,28.7,92,8.2,7.61,1003,Sunny
202,22/05/2023,Chennai,Tamil Nadu,Monsoon,30.9,67,15.3,0.22,1012.7,Fog
203,19/05/2023,Pune,Maharashtra,Summer,34.1,92,25.2,2.67,1015.5,Rain
204,04/10/2022,Mumbai,Maharashtra,Monsoon,25.1,76,3.1,13.62,999.8,Cloudy
205,06/09/2022,Chennai,Tamil Nadu,Autumn,28.2,71,10.8,0.64,1014.3,Sunny
206,20/02/2024,Mumbai,Maharashtra,Autumn,31.8,76,12.2,0.14,1005.8,Fog
207,14/04/2022,Pune,Maharashtra,Winter,22.5,44,34.7,0.15,1020.6,Haze
208,25/05/2023,Pune,Maharashtra,Autumn,25.4,70,21.5,1.3,1012.1,Haze
209,14/05/2023,Delhi,Delhi,Summer,35.7,37,16.7,0.03,1018.3,Sunny
210,23/02/2022,Pune,Maharashtra,Autumn,25.1,54,32.7,0.37,1003.9,Cloudy
211,03/05/2024,Mumbai,Maharashtra,Winter,17.5,57,8.2,0.62,1023.8,Haze
212,14/05/2022,Delhi,Delhi,Autumn,25.4,45,25.4,0.4,995.2,Sunny
213,11/04/2024,Lucknow,Uttar Pradesh,Winter,20.8,66,15.4,1.75,1003.7,Sunny
214,22/04/2023,Bangalore,Karnataka,Summer,37.9,45,17.2,2.06,1010.5,Storm
215,24/03/2022,Hyderabad,Telangana,Winter,24.1,56,28.7,0.67,1002.1,Cloudy
216,17/09/2023,Hyderabad,Telangana,Monsoon,29.2,45,4.4,2.57,1007.6,Haze
217,07/04/2024,Delhi,Delhi,Winter,23,85,29.4,0.46,1012.7,Storm
218,25/09/2022,Kolkata,West Bengal,Monsoon,24.1,52,5.3,7.83,1012.7,Fog
219,03/12/2023,Ahmedabad,Gujarat,Autumn,22.1,62,14.4,2.15,1010.5,Rain
220,30/10/2023,Delhi,Delhi,Autumn,22.5,38,29.3,2.95,1022.6,Rain
221,16/08/2022,Pune,Maharashtra,Autumn,23.5,81,15.3,0.12,993.9,Fog
222,01/05/2024,Ahmedabad,Gujarat,Monsoon,23.3,51,22.3,4.52,1006.3,Fog
223,09/04/2023,Jaipur,Rajasthan,Summer,36.3,91,7.1,0.7,1003.2,Storm
224,28/10/2022,Lucknow,Uttar Pradesh,Monsoon,28.2,39,1.7,0.61,1009.7,Sunny
225,06/05/2022,Pune,Maharashtra,Winter,13.7,70,31.4,2.06,997.3,Fog
226,11/03/2024,Kolkata,West Bengal,Summer,31.7,88,17.4,0.45,1007.5,Cloudy
227,09/08/2022,Jaipur,Rajasthan,Autumn,26,48,7,0.6,1008.1,Rain
228,24/04/2024,Delhi,Delhi,Autumn,27.6,52,20.7,0.28,1003,Fog
229,08/06/2022,Lucknow,Uttar Pradesh,Summer,28.4,40,10.2,3.98,1017.9,Storm
230,21/01/2024,Pune,Maharashtra,Autumn,23.7,80,34,0.22,1015.8,Sunny
231,06/07/2023,Ahmedabad,Gujarat,Autumn,24.9,78,0,0.83,1006.4,Storm
232,03/10/2023,Ahmedabad,Gujarat,Summer,40.2,87,31.1,2.87,1017.3,Storm
233,10/09/2022,Bangalore,Karnataka,Summer,31.2,37,29.5,4.05,1011.1,Storm
234,15/02/2024,Bangalore,Karnataka,Winter,8.2,73,19.1,1.7,1002.1,Haze
235,22/05/2024,Mumbai,Maharashtra,Summer,39.4,50,2.2,0.15,1013,Rain
236,14/02/2024,Chennai,Tamil Nadu,Monsoon,29.4,78,6.4,11.91,1010.8,Cloudy
237,28/05/2024,Pune,Maharashtra,Winter,12,53,14.1,0.15,1021.4,Fog
238,15/05/2024,Pune,Maharashtra,Autumn,24,47,32.4,1.17,1011.8,Haze
239,13/06/2024,Ahmedabad,Gujarat,Winter,18.4,78,24.5,2.67,991.2,Rain
240,01/11/2023,Mumbai,Maharashtra,Autumn,27.2,43,2.5,3.85,1015.4,Fog
241,27/02/2024,Lucknow,Uttar Pradesh,Winter,15,43,7.4,0.7,1024.2,Storm
242,06/08/2023,Jaipur,Rajasthan,Monsoon,28.5,52,11.9,3.25,1015.8,Haze
243,31/05/2023,Delhi,Delhi,Monsoon,32.3,88,23.7,4.65,1017.8,Storm
244,12/02/2022,Delhi,Delhi,Summer,34,69,32.8,0.91,1005.6,Cloudy
245,31/12/2022,Kolkata,West Bengal,Autumn,30.9,72,5.5,0.03,1007.2,Rain
246,23/01/2022,Chennai,Tamil Nadu,Autumn,30.7,71,18.7,1.53,1011.4,Cloudy
247,22/02/2022,Bangalore,Karnataka,Winter,20.8,40,26.6,0.71,1011.4,Cloudy
248,14/03/2023,Mumbai,Maharashtra,Monsoon,29.6,67,26.7,3.96,1019.9,Cloudy
249,21/07/2023,Bangalore,Karnataka,Monsoon,26.3,52,2.6,0.06,1015.8,Storm
250,02/05/2024,Hyderabad,Telangana,Monsoon,26,41,24,2.67,1005.3,Haze
251,17/01/2024,Kolkata,West Bengal,Monsoon,27.8,82,31.9,5.17,997.1,Fog
252,01/12/2023,Kolkata,West Bengal,Autumn,29.5,65,27,0.4,1017.5,Cloudy
253,23/05/2024,Pune,Maharashtra,Autumn,25.5,83,31.1,0.73,1023.2,Fog
254,26/03/2024,Lucknow,Uttar Pradesh,Monsoon,30.5,55,21.2,18.59,997.3,Fog
255,03/01/2022,Ahmedabad,Gujarat,Autumn,28,74,6.5,0.75,1020.6,Fog
256,17/12/2022,Kolkata,West Bengal,Summer,33.4,62,6.2,1.97,1011.4,Sunny
257,27/12/2022,Ahmedabad,Gujarat,Autumn,20.4,93,10.9,0.06,1010,Haze
258,02/10/2023,Bangalore,Karnataka,Autumn,22.9,35,17.6,1.03,1013.8,Sunny
259,10/07/2022,Hyderabad,Telangana,Summer,27.7,49,29.5,2.21,996,Storm
260,13/03/2022,Mumbai,Maharashtra,Winter,17.3,72,7.9,3.55,1014.1,Cloudy
261,20/04/2023,Hyderabad,Telangana,Summer,42.7,69,32.3,0.17,1002.8,Fog
262,02/05/2022,Delhi,Delhi,Summer,28.2,35,12.1,0.17,1000.8,Storm
263,01/10/2022,Hyderabad,Telangana,Autumn,27.1,76,20.1,2.07,1001.2,Haze
264,03/11/2023,Delhi,Delhi,Summer,20.8,47,18.1,1.99,1000.3,Fog
265,05/01/2024,Lucknow,Uttar Pradesh,Monsoon,28,57,9,1.79,1008,Fog
266,20/03/2023,Jaipur,Rajasthan,Autumn,22.9,65,17.3,0.31,1003.5,Storm
267,08/04/2023,Bangalore,Karnataka,Autumn,32.9,56,12,0.34,1009.5,Storm
268,16/09/2022,Mumbai,Maharashtra,Monsoon,25,57,33.8,5.25,1003.4,Cloudy
269,06/06/2022,Kolkata,West Bengal,Summer,36.2,70,34.2,1.17,1009.9,Fog
270,25/08/2022,Delhi,Delhi,Winter,19.8,59,32.2,2.48,1003.1,Haze
271,15/04/2023,Hyderabad,Telangana,Autumn,16.5,63,0.5,2.78,1005.4,Rain
272,19/09/2022,Chennai,Tamil Nadu,Autumn,28.3,55,3.2,0.38,1002.4,Storm
273,31/10/2023,Kolkata,West Bengal,Winter,16.3,71,22.1,0.51,1014.3,Storm
274,01/09/2023,Hyderabad,Telangana,Autumn,32.7,74,29.4,0.1,1006.2,Sunny
275,27/08/2022,Chennai,Tamil Nadu,Autumn,20.3,72,2.4,0.44,1013.9,Rain
276,08/07/2023,Delhi,Delhi,Winter,13.4,46,11.9,0.4,1005.6,Cloudy
277,29/08/2022,Mumbai,Maharashtra,Autumn,23.8,90,31.3,1.3,1012.5,Sunny
278,22/02/2022,Chennai,Tamil Nadu,Winter,16,52,12.9,0.1,1016.2,Rain
279,08/04/2024,Kolkata,West Bengal,Autumn,27.1,77,21.9,0.41,1015.8,Cloudy
280,11/03/2024,Ahmedabad,Gujarat,Summer,35.2,72,16.7,0.23,1030.4,Cloudy
281,02/06/2023,Pune,Maharashtra,Winter,18.1,35,5.8,0.48,1019.1,Haze
